iter	MultiClass
0	1.080999742
1	1.065004279
2	1.050591449
3	1.036474918
4	1.024619985
5	1.013166589
6	1.003228298
7	0.9939082168
8	0.9859220683
9	0.9782324826
10	0.9706643515
11	0.9639371026
12	0.9575228613
13	0.9510082632
14	0.945726525
15	0.9397774074
16	0.9345938094
17	0.9301015269
18	0.9252562412
19	0.9210103321
20	0.9167065701
21	0.9130388182
22	0.9094485239
23	0.9051839483
24	0.9005985499
25	0.8969755792
26	0.8940954874
27	0.8907262216
28	0.8877108165
29	0.8848260386
30	0.8824303416
31	0.8791261613
32	0.876957516
33	0.8741539082
34	0.870964692
35	0.8688026042
36	0.8662261478
37	0.8631001697
38	0.8605669593
39	0.8585099088
40	0.8562895785
41	0.8546636829
42	0.852471183
43	0.8502199862
44	0.8477555784
45	0.8458076235
46	0.8435832463
47	0.8421268477
48	0.8404961565
49	0.8389201026
50	0.8377278793
51	0.8359660156
52	0.8340905768
53	0.8325175452
54	0.8311901722
55	0.829185954
56	0.8275196312
57	0.8263987259
58	0.8248089179
59	0.8232398079
60	0.8216734864
61	0.8202299877
62	0.8186275445
63	0.8170147855
64	0.8155128021
65	0.8134389271
66	0.8119107276
67	0.8102762824
68	0.8090414321
69	0.8081685732
70	0.8069934094
71	0.8056069838
72	0.8044116988
73	0.8034676436
74	0.8024918254
75	0.8016658969
76	0.800138886
77	0.7986027085
78	0.7972583785
79	0.7962325567
80	0.795360661
81	0.7945945141
82	0.7934201788
83	0.7927846646
84	0.7918140728
85	0.7908618029
86	0.7898200309
87	0.7884589343
88	0.7871493978
89	0.7855327634
90	0.7842982726
91	0.7831398328
92	0.7822040831
93	0.7808109165
94	0.7800227657
95	0.7789691562
96	0.778425916
97	0.7769771335
98	0.7761693969
99	0.7755563552
100	0.7744997314
101	0.7736921747
102	0.7726465113
103	0.7719478864
104	0.7711221088
105	0.7704815187
106	0.7693450636
107	0.7684634164
108	0.7678359018
109	0.7672408323
110	0.7664666772
111	0.7652117139
112	0.7644264888
113	0.7635933702
114	0.761922047
115	0.7613936862
116	0.760806034
117	0.759921088
118	0.7593176441
119	0.7584379144
120	0.7579030872
121	0.757277295
122	0.7564149429
123	0.7557821555
124	0.7550858327
125	0.7544530867
126	0.7537760382
127	0.7529317505
128	0.752197144
129	0.7517544115
130	0.7512297626
131	0.7507613197
132	0.750113817
133	0.7497115483
134	0.7490191274
135	0.7484943464
136	0.7477766552
137	0.747083999
138	0.7465747912
139	0.745564065
140	0.7444745321
141	0.7434460759
142	0.7430429706
143	0.742261666
144	0.7416945928
145	0.7412015579
146	0.7407131553
147	0.7404373049
148	0.7398335034
149	0.739393364
150	0.7388016028
151	0.7381105753
152	0.7371059023
153	0.7365760053
154	0.7360225669
155	0.7356746094
156	0.7351218543
157	0.7346923115
158	0.7343034411
159	0.7339023552
160	0.7332747833
161	0.7329892244
162	0.7327419106
163	0.7316564232
164	0.7314325223
165	0.7307737183
166	0.7303594091
167	0.7297524784
168	0.729234863
169	0.7286753379
170	0.7282398357
171	0.7277459797
172	0.7275463513
173	0.7269551796
174	0.7264646303
175	0.7256537945
176	0.7251972492
177	0.7246398445
178	0.7244115414
179	0.7241275036
180	0.7235930329
181	0.7231123028
182	0.7225524897
183	0.7220014599
184	0.7215869019
185	0.7211525591
186	0.7209093336
187	0.720501837
188	0.7199565641
189	0.7196656293
190	0.719109379
191	0.7187590589
192	0.7182603042
193	0.7176618732
194	0.7170936585
195	0.716607528
196	0.7158454218
197	0.7152586347
198	0.7147187799
199	0.7143052807
200	0.7140481619
201	0.7134185702
202	0.7131419835
203	0.7126565647
204	0.7121683314
205	0.7117638462
206	0.7114056642
207	0.7112513467
208	0.7105794896
209	0.7102735033
210	0.7097921458
211	0.7094345227
212	0.7090027727
213	0.7085907698
214	0.7083400568
215	0.7079302933
216	0.7074819106
217	0.7072025767
218	0.7067980933
219	0.7064386206
220	0.7059764369
221	0.7056585907
222	0.7051484245
223	0.704865263
224	0.704491593
225	0.7041300878
226	0.7036015476
227	0.7032981742
228	0.7029134974
229	0.7026121853
230	0.7022933113
231	0.7016550298
232	0.7010044615
233	0.700708059
234	0.7002443908
235	0.6997513795
236	0.6994210418
237	0.6987216184
238	0.698444167
239	0.6980682015
240	0.6974309185
241	0.6972329975
242	0.6967412453
243	0.6963249722
244	0.6959940205
245	0.6952363976
246	0.6949470028
247	0.6944567474
248	0.6940361607
249	0.6936039159
250	0.6933263297
251	0.6929899112
252	0.6927554822
253	0.6922944526
254	0.6919596805
255	0.6915583201
256	0.6911807224
257	0.6909037804
258	0.6904968105
259	0.6901546194
260	0.689889309
261	0.6893422788
262	0.6888702732
263	0.6883542174
264	0.6879196281
265	0.6875820514
266	0.6871134856
267	0.6868540935
268	0.6865412605
269	0.6861516598
270	0.6857925582
271	0.6854418748
272	0.6852093693
273	0.6850096227
274	0.6845567616
275	0.6842032899
276	0.6840708055
277	0.683815241
278	0.6835005975
279	0.6832449626
280	0.6827255367
281	0.6823452653
282	0.6820776855
283	0.6814659692
284	0.6812743313
285	0.680978078
286	0.6808351086
287	0.6803114846
288	0.680102305
289	0.6798822063
290	0.6796853594
291	0.6794484437
292	0.678971008
293	0.678715806
294	0.6784323479
295	0.6781223615
296	0.6777715891
297	0.67738885
298	0.677063314
299	0.6768229345
300	0.6766223236
301	0.6762782309
302	0.6760120006
303	0.675658408
304	0.6753398409
305	0.6751595983
306	0.6747611801
307	0.674512231
308	0.6742258658
309	0.6739934003
310	0.6738640225
311	0.6735789117
312	0.6732726938
313	0.6730408884
314	0.6725652933
315	0.6723441352
316	0.6721654454
317	0.6719541648
318	0.6716327373
319	0.671259005
320	0.6710380284
321	0.6708476345
322	0.6706471801
323	0.6703532448
324	0.6700893978
325	0.6696073319
326	0.6693751373
327	0.669047295
328	0.6686287908
329	0.6680566308
330	0.6677651253
331	0.6673487869
332	0.6668812112
333	0.6666516749
334	0.6663226821
335	0.6659597649
336	0.6657155876
337	0.665380172
338	0.6650935855
339	0.6646835728
340	0.6643100485
341	0.6641606386
342	0.6638955784
343	0.6636708379
344	0.663379158
345	0.6631846882
346	0.6629822803
347	0.6627805972
348	0.6622970857
349	0.6620490374
350	0.6617041824
351	0.6615581759
352	0.661285115
353	0.6610251135
354	0.6606768145
355	0.660521053
356	0.6602181432
357	0.6598068711
358	0.6595398531
359	0.6591769315
360	0.658845549
361	0.6586848754
362	0.6583834424
363	0.6580065084
364	0.6577757051
365	0.6575370651
366	0.6573876039
367	0.6571780432
368	0.6569064162
369	0.6566165457
370	0.6564297604
371	0.6561085975
372	0.6559353259
373	0.6554799095
374	0.6551382124
375	0.6548942387
376	0.6545276191
377	0.6541590544
378	0.6540154997
379	0.6537934016
380	0.6536834227
381	0.6533049387
382	0.6530854225
383	0.6527765788
384	0.6524951522
385	0.6523224688
386	0.6520469377
387	0.6518650841
388	0.6516833672
389	0.6515235846
390	0.6513134238
391	0.6510058244
392	0.6508204523
393	0.6505470901
394	0.6502950132
395	0.6501399181
396	0.6499404387
397	0.649743025
398	0.6495353824
399	0.6493392075
400	0.6489599212
401	0.6487144388
402	0.6484068319
403	0.6480643623
404	0.6479197573
405	0.6477698757
406	0.6474762095
407	0.6471476492
408	0.6468668852
409	0.6465644387
410	0.6463541275
411	0.6459567626
412	0.6456182336
413	0.6454328352
414	0.6452323216
415	0.6450450198
416	0.6447725229
417	0.6445614922
418	0.6443829677
419	0.6442401675
420	0.644008339
421	0.6438551578
422	0.643487405
423	0.6432538685
424	0.6430847881
425	0.6428230216
426	0.6425683891
427	0.6422040265
428	0.642026931
429	0.6418220995
430	0.6416679627
431	0.6413133186
432	0.6411403349
433	0.6409903488
434	0.6407709228
435	0.6404867374
436	0.6403348225
437	0.6401608514
438	0.6399613528
439	0.6395787794
440	0.6392337365
441	0.6390479096
442	0.6388052394
443	0.6385680885
444	0.6382841672
445	0.6380596031
446	0.6377997066
447	0.6376386816
448	0.6373161146
449	0.6370736283
450	0.6368738075
451	0.6367369803
452	0.6364536629
453	0.636304429
454	0.6361352281
455	0.635975169
456	0.6358446338
457	0.6355246859
458	0.6353739055
459	0.6352927486
460	0.6350557496
461	0.6349306162
462	0.6347817302
463	0.634552312
464	0.6342887789
465	0.6340481896
466	0.6338231252
467	0.6334445747
468	0.6332756829
469	0.6331367197
470	0.6328243223
471	0.6326957598
472	0.6325366903
473	0.6324109641
474	0.6322973681
475	0.6321288706
476	0.6319449486
477	0.6315497743
478	0.6314005246
479	0.631139118
480	0.6310072386
481	0.6307459196
482	0.6303889425
483	0.6302802232
484	0.6299025781
485	0.6297757818
486	0.6295636462
487	0.6293532024
488	0.6292215525
489	0.628880162
490	0.6287012695
491	0.6285653972
492	0.6282942983
493	0.6280948178
494	0.627916299
495	0.6276404871
496	0.627370207
497	0.6272310302
498	0.6270022597
499	0.6268278521
